instance_id,policy,max_active_branches,max_steps_per_branch,time_to_first_file_modification,time_to_first_nonempty_patch,tokens_to_first_file_modification,tokens_to_first_nonempty_patch,cost_to_patch,branches_pruned,official_success_if_available,snapshot_events_available,file_modification_seen,oracle_gap,snapshot_gain_vs_fcfs,snapshot_gain_vs_pabb_v3
astropy__astropy-12907,fcfs_budget,1,5,,,,,,0,unknown,0,0,,,
astropy__astropy-12907,fcfs_budget,1,10,23.542097698272556,,26079,,,0,unknown,0,1,,,
astropy__astropy-12907,fcfs_budget,1,15,123.84247623689998,126.39437658984711,40467,54910,126.39437658984711,0,unknown,0,1,,,
astropy__astropy-12907,fcfs_budget,2,5,,,,,,0,unknown,0,0,,,
astropy__astropy-12907,fcfs_budget,2,10,23.542097698272556,,26079,,,0,unknown,0,1,,,
astropy__astropy-12907,fcfs_budget,2,15,23.542097698272556,126.39437658984711,26079,54910,126.39437658984711,0,unknown,0,1,,,
astropy__astropy-12907,fcfs_budget,4,5,,,,,,0,unknown,0,0,,,
astropy__astropy-12907,fcfs_budget,4,10,35.859873699450496,,49015,,,0,unknown,0,1,,,
astropy__astropy-12907,fcfs_budget,4,15,35.859873699450496,146.04636348053901,49015,93394,146.04636348053901,0,unknown,0,1,,,
astropy__astropy-12907,pabb_online_v3,1,5,,,,,,0,unknown,0,0,,,
astropy__astropy-12907,pabb_online_v3,1,10,28.258685256245002,,32693,,,0,unknown,0,1,,,
astropy__astropy-12907,pabb_online_v3,1,15,28.258685256245002,30.810585609192135,32693,47136,30.810585609192135,0,unknown,0,1,,,
astropy__astropy-12907,pabb_online_v3,2,5,,,,,,0,unknown,0,0,,,
astropy__astropy-12907,pabb_online_v3,2,10,29.19585917992925,,34828,,,0,unknown,0,1,,,
astropy__astropy-12907,pabb_online_v3,2,15,29.19585917992925,35.74791327215417,34828,57368,35.74791327215417,0,unknown,0,1,,,
astropy__astropy-12907,pabb_online_v3,4,5,,,,,,0,unknown,0,0,,,
astropy__astropy-12907,pabb_online_v3,4,10,35.56063334872723,,49015,,,0,unknown,0,1,,,
astropy__astropy-12907,pabb_online_v3,4,15,35.56063334872723,144.10084295521733,49015,87598,144.10084295521733,0,unknown,0,1,,,
astropy__astropy-12907,pabb_snapshot_online,1,5,,,,,,0,unknown,0,0,,,
astropy__astropy-12907,pabb_snapshot_online,1,10,28.258685256245002,,32693,,,0,unknown,0,1,,,
astropy__astropy-12907,pabb_snapshot_online,1,15,28.258685256245002,30.810585609192135,32693,47136,30.810585609192135,0,unknown,0,1,0.7404401903183143,0.7562345221324739,0.0
astropy__astropy-12907,pabb_snapshot_online,2,5,,,,,,0,unknown,0,0,,,
astropy__astropy-12907,pabb_snapshot_online,2,10,29.19585917992925,,34828,,,0,unknown,0,1,,,
astropy__astropy-12907,pabb_snapshot_online,2,15,29.19585917992925,35.74791327215417,34828,57368,35.74791327215417,0,unknown,0,1,0.0,0.7171716476900152,0.0
astropy__astropy-12907,pabb_snapshot_online,4,5,,,,,,0,unknown,0,0,,,
astropy__astropy-12907,pabb_snapshot_online,4,10,35.56063334872723,,49015,,,0,unknown,0,1,,,
astropy__astropy-12907,pabb_snapshot_online,4,15,35.56063334872723,144.10084295521733,49015,87598,144.10084295521733,0,unknown,0,1,0.0,0.013321252778614566,0.0
astropy__astropy-12907,pabb_oracle_upper_bound,1,5,,,,,,0,unknown,0,0,,,
astropy__astropy-12907,pabb_oracle_upper_bound,1,10,5.445289383956063,,12214,,,0,unknown,0,1,,,
astropy__astropy-12907,pabb_oracle_upper_bound,1,15,5.445289383956063,7.997189736903194,12214,26657,7.997189736903194,0,unknown,0,1,,,
astropy__astropy-12907,pabb_oracle_upper_bound,2,5,,,,,,0,unknown,0,0,,,
astropy__astropy-12907,pabb_oracle_upper_bound,2,10,23.24285734754929,,26079,,,0,unknown,0,1,,,
astropy__astropy-12907,pabb_oracle_upper_bound,2,15,23.24285734754929,124.44885606452542,26079,49114,124.44885606452542,0,unknown,0,1,,,
astropy__astropy-12907,pabb_oracle_upper_bound,4,5,,,,,,0,unknown,0,0,,,
astropy__astropy-12907,pabb_oracle_upper_bound,4,10,35.56063334872723,,49015,,,0,unknown,0,1,,,
astropy__astropy-12907,pabb_oracle_upper_bound,4,15,35.56063334872723,144.10084295521733,49015,87598,144.10084295521733,0,unknown,0,1,,,
django__django-11815,fcfs_budget,1,5,,,,,,0,unknown,0,0,,,
django__django-11815,fcfs_budget,1,10,16.306808121641858,,29453,,,0,unknown,0,1,,,
django__django-11815,fcfs_budget,1,15,37.20378083758596,,51409,,,0,unknown,0,1,,,
django__django-11815,fcfs_budget,2,5,,,,,,0,unknown,0,0,,,
django__django-11815,fcfs_budget,2,10,21.924523424922377,,52444,,,0,unknown,0,1,,,
django__django-11815,fcfs_budget,2,15,42.82149614086648,,74400,,,0,unknown,0,1,,,
django__django-11815,fcfs_budget,4,5,,,,,,0,unknown,0,0,,,
django__django-11815,fcfs_budget,4,10,19.179610053347876,,46826,,,0,unknown,0,1,,,
django__django-11815,fcfs_budget,4,15,19.179610053347876,,46826,,,0,unknown,0,1,,,
django__django-11815,pabb_online_v3,1,5,,,,,,0,unknown,0,0,,,
django__django-11815,pabb_online_v3,1,10,17.084519760284298,,42676,,,0,unknown,0,1,,,
django__django-11815,pabb_online_v3,1,15,17.084519760284298,,42676,,,0,unknown,0,1,,,
django__django-11815,pabb_online_v3,2,5,,,,,,0,unknown,0,0,,,
django__django-11815,pabb_online_v3,2,10,16.322870207846766,,40434,,,0,unknown,0,1,,,
django__django-11815,pabb_online_v3,2,15,16.322870207846766,,40434,,,0,unknown,0,1,,,
django__django-11815,pabb_online_v3,4,5,,,,,,0,unknown,0,0,,,
django__django-11815,pabb_online_v3,4,10,18.794098416613867,,46826,,,0,unknown,0,1,,,
django__django-11815,pabb_online_v3,4,15,18.794098416613867,,46826,,,0,unknown,0,1,,,
django__django-11815,pabb_snapshot_online,1,5,,,,,,0,unknown,0,0,,,
django__django-11815,pabb_snapshot_online,1,10,17.084519760284298,,42676,,,0,unknown,0,1,,,
django__django-11815,pabb_snapshot_online,1,15,17.084519760284298,,42676,,,0,unknown,0,1,,,
django__django-11815,pabb_snapshot_online,2,5,,,,,,0,unknown,0,0,,,
django__django-11815,pabb_snapshot_online,2,10,16.322870207846766,,40434,,,0,unknown,0,1,,,
django__django-11815,pabb_snapshot_online,2,15,16.322870207846766,,40434,,,0,unknown,0,1,,,
django__django-11815,pabb_snapshot_online,4,5,,,,,,0,unknown,0,0,,,
django__django-11815,pabb_snapshot_online,4,10,18.794098416613867,,46826,,,0,unknown,0,1,,,
django__django-11815,pabb_snapshot_online,4,15,18.794098416613867,,46826,,,0,unknown,0,1,,,
django__django-11815,pabb_oracle_upper_bound,1,5,,,,,,0,unknown,0,0,,,
django__django-11815,pabb_oracle_upper_bound,1,10,16.306808121641858,,29453,,,0,unknown,0,1,,,
django__django-11815,pabb_oracle_upper_bound,1,15,37.20378083758596,,51409,,,0,unknown,0,1,,,
django__django-11815,pabb_oracle_upper_bound,2,5,,,,,,0,unknown,0,0,,,
django__django-11815,pabb_oracle_upper_bound,2,10,21.924523424922377,,52444,,,0,unknown,0,1,,,
django__django-11815,pabb_oracle_upper_bound,2,15,42.82149614086648,,74400,,,0,unknown,0,1,,,
django__django-11815,pabb_oracle_upper_bound,4,5,,,,,,0,unknown,0,0,,,
django__django-11815,pabb_oracle_upper_bound,4,10,19.179610053347876,,46826,,,0,unknown,0,1,,,
django__django-11815,pabb_oracle_upper_bound,4,15,19.179610053347876,,46826,,,0,unknown,0,1,,,
django__django-11848,fcfs_budget,1,5,,,,,,0,unknown,0,0,,,
django__django-11848,fcfs_budget,1,10,10.966162474521036,,21766,,,0,unknown,0,2,,,
django__django-11848,fcfs_budget,1,15,5.764903265059824,,10308,,,0,unknown,0,3,,,
django__django-11848,fcfs_budget,2,5,,,,,,0,unknown,0,0,,,
django__django-11848,fcfs_budget,2,10,10.966162474521036,,21766,,,0,unknown,0,2,,,
django__django-11848,fcfs_budget,2,15,10.966162474521036,,21766,,,0,unknown,0,3,,,
django__django-11848,fcfs_budget,4,5,,,,,,0,unknown,0,0,,,
django__django-11848,fcfs_budget,4,10,15.181085644522785,,28666,,,0,unknown,0,2,,,
django__django-11848,fcfs_budget,4,15,15.181085644522785,,28666,,,0,unknown,0,3,,,
django__django-11848,pabb_online_v3,1,5,,,,,,0,unknown,0,0,,,
django__django-11848,pabb_online_v3,1,10,15.074554787444923,,29117,,,0,unknown,0,2,,,
django__django-11848,pabb_online_v3,1,15,15.074554787444923,,29117,,,0,unknown,0,3,,,
django__django-11848,pabb_online_v3,2,5,,,,,,0,unknown,0,0,,,
django__django-11848,pabb_online_v3,2,10,15.996362127983001,,31103,,,0,unknown,0,2,,,
django__django-11848,pabb_online_v3,2,15,15.996362127983001,,31103,,,0,unknown,0,3,,,
django__django-11848,pabb_online_v3,4,5,,,,,,0,unknown,0,0,,,
django__django-11848,pabb_online_v3,4,10,14.76951104239571,,28666,,,0,unknown,0,2,,,
django__django-11848,pabb_online_v3,4,15,14.76951104239571,,28666,,,0,unknown,0,3,,,
django__django-11848,pabb_snapshot_online,1,5,,,,,,0,unknown,0,0,,,
django__django-11848,pabb_snapshot_online,1,10,15.074554787444923,,29117,,,0,unknown,0,2,,,
django__django-11848,pabb_snapshot_online,1,15,15.074554787444923,,29117,,,0,unknown,0,3,,,
django__django-11848,pabb_snapshot_online,2,5,,,,,,0,unknown,0,0,,,
django__django-11848,pabb_snapshot_online,2,10,15.996362127983001,,31103,,,0,unknown,0,2,,,
django__django-11848,pabb_snapshot_online,2,15,15.996362127983001,,31103,,,0,unknown,0,3,,,
django__django-11848,pabb_snapshot_online,4,5,,,,,,0,unknown,0,0,,,
django__django-11848,pabb_snapshot_online,4,10,14.76951104239571,,28666,,,0,unknown,0,2,,,
django__django-11848,pabb_snapshot_online,4,15,14.76951104239571,,28666,,,0,unknown,0,3,,,
django__django-11848,pabb_oracle_upper_bound,1,5,,,,,,0,unknown,0,0,,,
django__django-11848,pabb_oracle_upper_bound,1,10,10.966162474521036,,21766,,,0,unknown,0,2,,,
django__django-11848,pabb_oracle_upper_bound,1,15,5.764903265059824,,10308,,,0,unknown,0,3,,,
django__django-11848,pabb_oracle_upper_bound,2,5,,,,,,0,unknown,0,0,,,
django__django-11848,pabb_oracle_upper_bound,2,10,10.966162474521036,,21766,,,0,unknown,0,2,,,
django__django-11848,pabb_oracle_upper_bound,2,15,10.966162474521036,,21766,,,0,unknown,0,3,,,
django__django-11848,pabb_oracle_upper_bound,4,5,,,,,,0,unknown,0,0,,,
django__django-11848,pabb_oracle_upper_bound,4,10,15.181085644522785,,28666,,,0,unknown,0,2,,,
django__django-11848,pabb_oracle_upper_bound,4,15,15.181085644522785,,28666,,,0,unknown,0,3,,,
django__django-11964,fcfs_budget,1,5,,,,,,0,unknown,0,0,,,
django__django-11964,fcfs_budget,1,10,,,,,,0,unknown,0,0,,,
django__django-11964,fcfs_budget,1,15,,,,,,0,unknown,0,0,,,
django__django-11964,fcfs_budget,2,5,,,,,,0,unknown,0,0,,,
django__django-11964,fcfs_budget,2,10,,,,,,0,unknown,0,0,,,
django__django-11964,fcfs_budget,2,15,,,,,,0,unknown,0,0,,,
django__django-11964,fcfs_budget,4,5,,,,,,0,unknown,0,0,,,
django__django-11964,fcfs_budget,4,10,,,,,,0,unknown,0,0,,,
django__django-11964,fcfs_budget,4,15,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_online_v3,1,5,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_online_v3,1,10,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_online_v3,1,15,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_online_v3,2,5,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_online_v3,2,10,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_online_v3,2,15,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_online_v3,4,5,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_online_v3,4,10,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_online_v3,4,15,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_snapshot_online,1,5,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_snapshot_online,1,10,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_snapshot_online,1,15,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_snapshot_online,2,5,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_snapshot_online,2,10,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_snapshot_online,2,15,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_snapshot_online,4,5,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_snapshot_online,4,10,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_snapshot_online,4,15,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_oracle_upper_bound,1,5,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_oracle_upper_bound,1,10,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_oracle_upper_bound,1,15,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_oracle_upper_bound,2,5,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_oracle_upper_bound,2,10,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_oracle_upper_bound,2,15,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_oracle_upper_bound,4,5,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_oracle_upper_bound,4,10,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_oracle_upper_bound,4,15,,,,,,0,unknown,0,0,,,
django__django-11999,fcfs_budget,1,5,,7.3293292684463465,,18355,7.3293292684463465,0,unknown,0,0,,,
django__django-11999,fcfs_budget,1,10,,9.160701915397174,,25140,9.160701915397174,0,unknown,0,0,,,
django__django-11999,fcfs_budget,1,15,,13.21544010255439,,46951,13.21544010255439,0,unknown,0,0,,,
django__django-11999,fcfs_budget,2,5,,7.3293292684463465,,18355,7.3293292684463465,0,unknown,0,0,,,
django__django-11999,fcfs_budget,2,10,,7.3293292684463465,,18355,7.3293292684463465,0,unknown,0,0,,,
django__django-11999,fcfs_budget,2,15,,7.3293292684463465,,18355,7.3293292684463465,0,unknown,0,0,,,
django__django-11999,fcfs_budget,4,5,,12.788905352829778,,25118,12.788905352829778,0,unknown,0,0,,,
django__django-11999,fcfs_budget,4,10,,12.788905352829778,,25118,12.788905352829778,0,unknown,0,0,,,
django__django-11999,fcfs_budget,4,15,,12.788905352829778,,25118,12.788905352829778,0,unknown,0,0,,,
django__django-11999,pabb_online_v3,1,5,,8.359457229308257,,17247,8.359457229308257,0,unknown,0,0,,,
django__django-11999,pabb_online_v3,1,10,,8.359457229308257,,17247,8.359457229308257,0,unknown,0,0,,,
django__django-11999,pabb_online_v3,1,15,,8.359457229308257,,17247,8.359457229308257,0,unknown,0,0,,,
django__django-11999,pabb_online_v3,2,5,,10.080140995319029,,19052,10.080140995319029,0,unknown,0,0,,,
django__django-11999,pabb_online_v3,2,10,,10.080140995319029,,19052,10.080140995319029,0,unknown,0,0,,,
django__django-11999,pabb_online_v3,2,15,,10.080140995319029,,19052,10.080140995319029,0,unknown,0,0,,,
django__django-11999,pabb_online_v3,4,5,,12.788905352829778,,25118,12.788905352829778,0,unknown,0,0,,,
django__django-11999,pabb_online_v3,4,10,,12.788905352829778,,25118,12.788905352829778,0,unknown,0,0,,,
django__django-11999,pabb_online_v3,4,15,,12.788905352829778,,25118,12.788905352829778,0,unknown,0,0,,,
django__django-11999,pabb_snapshot_online,1,5,,8.359457229308257,,17247,8.359457229308257,0,unknown,0,0,0.4469599754592616,-0.14054873551618652,0.0
django__django-11999,pabb_snapshot_online,1,10,,8.359457229308257,,17247,8.359457229308257,0,unknown,0,0,0.4469599754592616,0.08746542497384369,0.0
django__django-11999,pabb_snapshot_online,1,15,,8.359457229308257,,17247,8.359457229308257,0,unknown,0,0,0.4469599754592616,0.36744768509885106,0.0
django__django-11999,pabb_snapshot_online,2,5,,10.080140995319029,,19052,10.080140995319029,0,unknown,0,0,0.33805638024135637,-0.3753156156751289,0.0
django__django-11999,pabb_snapshot_online,2,10,,10.080140995319029,,19052,10.080140995319029,0,unknown,0,0,0.33805638024135637,-0.3753156156751289,0.0
django__django-11999,pabb_snapshot_online,2,15,,10.080140995319029,,19052,10.080140995319029,0,unknown,0,0,0.33805638024135637,-0.3753156156751289,0.0
django__django-11999,pabb_snapshot_online,4,5,,12.788905352829778,,25118,12.788905352829778,0,unknown,0,0,0.05136047474008664,0.0,0.0
django__django-11999,pabb_snapshot_online,4,10,,12.788905352829778,,25118,12.788905352829778,0,unknown,0,0,0.05136047474008664,0.0,0.0
django__django-11999,pabb_snapshot_online,4,15,,12.788905352829778,,25118,12.788905352829778,0,unknown,0,0,0.05136047474008664,0.0,0.0
