instance_id,policy,max_active_branches,max_steps_per_branch,time_to_first_file_modification,time_to_first_nonempty_patch,tokens_to_first_file_modification,tokens_to_first_nonempty_patch,cost_to_patch,branches_pruned,official_success_if_available,snapshot_events_available,file_modification_seen,oracle_gap,snapshot_gain_vs_fcfs,snapshot_gain_vs_pabb_v3
django__django-11999,pabb_oracle_upper_bound,1,5,,4.623114431243891,,12460,4.623114431243891,0,unknown,0,0,,,
django__django-11999,pabb_oracle_upper_bound,1,10,,4.623114431243891,,12460,4.623114431243891,0,unknown,0,0,,,
django__django-11999,pabb_oracle_upper_bound,1,15,,4.623114431243891,,12460,4.623114431243891,0,unknown,0,0,,,
django__django-11999,pabb_oracle_upper_bound,2,5,,6.672485018118975,,15706,6.672485018118975,0,unknown,0,0,,,
django__django-11999,pabb_oracle_upper_bound,2,10,,6.672485018118975,,15706,6.672485018118975,0,unknown,0,0,,,
django__django-11999,pabb_oracle_upper_bound,2,15,,6.672485018118975,,15706,6.672485018118975,0,unknown,0,0,,,
django__django-11999,pabb_oracle_upper_bound,4,5,,12.132061102502405,,22469,12.132061102502405,0,unknown,0,0,,,
django__django-11999,pabb_oracle_upper_bound,4,10,,12.132061102502405,,22469,12.132061102502405,0,unknown,0,0,,,
django__django-11999,pabb_oracle_upper_bound,4,15,,12.132061102502405,,22469,12.132061102502405,0,unknown,0,0,,,
django__django-12125,fcfs_budget,1,5,11.06302918327794,,15451,,,0,unknown,0,1,,,
django__django-12125,fcfs_budget,1,10,19.21849985900885,,28006,,,0,unknown,0,2,,,
django__django-12125,fcfs_budget,1,15,23.21308981129239,,42239,,,0,unknown,0,2,,,
django__django-12125,fcfs_budget,2,5,12.297318879013169,,17272,,,0,unknown,0,1,,,
django__django-12125,fcfs_budget,2,10,19.21849985900885,,28006,,,0,unknown,0,2,,,
django__django-12125,fcfs_budget,2,15,19.21849985900885,,28006,,,0,unknown,0,2,,,
django__django-12125,fcfs_budget,4,5,6.349256066350714,,7274,,,0,unknown,0,1,,,
django__django-12125,fcfs_budget,4,10,6.349256066350714,,7274,,,0,unknown,0,2,,,
django__django-12125,fcfs_budget,4,15,6.349256066350714,,7274,,,0,unknown,0,2,,,
django__django-12125,pabb_online_v3,1,5,5.946380166082159,,7274,,,0,unknown,0,1,,,
django__django-12125,pabb_online_v3,1,10,5.946380166082159,,7274,,,0,unknown,0,2,,,
django__django-12125,pabb_online_v3,1,15,5.946380166082159,,7274,,,0,unknown,0,2,,,
django__django-12125,pabb_online_v3,2,5,5.946380166082159,,7274,,,0,unknown,0,1,,,
django__django-12125,pabb_online_v3,2,10,5.946380166082159,,7274,,,0,unknown,0,2,,,
django__django-12125,pabb_online_v3,2,15,5.946380166082159,,7274,,,0,unknown,0,2,,,
django__django-12125,pabb_online_v3,4,5,5.946380166082159,,7274,,,0,unknown,0,1,,,
django__django-12125,pabb_online_v3,4,10,5.946380166082159,,7274,,,0,unknown,0,2,,,
django__django-12125,pabb_online_v3,4,15,5.946380166082159,,7274,,,0,unknown,0,2,,,
django__django-12125,pabb_snapshot_online,1,5,5.946380166082159,,7274,,,0,unknown,0,1,,,
django__django-12125,pabb_snapshot_online,1,10,5.946380166082159,,7274,,,0,unknown,0,2,,,
django__django-12125,pabb_snapshot_online,1,15,5.946380166082159,,7274,,,0,unknown,0,2,,,
django__django-12125,pabb_snapshot_online,2,5,5.946380166082159,,7274,,,0,unknown,0,1,,,
django__django-12125,pabb_snapshot_online,2,10,5.946380166082159,,7274,,,0,unknown,0,2,,,
django__django-12125,pabb_snapshot_online,2,15,5.946380166082159,,7274,,,0,unknown,0,2,,,
django__django-12125,pabb_snapshot_online,4,5,5.946380166082159,,7274,,,0,unknown,0,1,,,
django__django-12125,pabb_snapshot_online,4,10,5.946380166082159,,7274,,,0,unknown,0,2,,,
django__django-12125,pabb_snapshot_online,4,15,5.946380166082159,,7274,,,0,unknown,0,2,,,
django__django-12125,pabb_oracle_upper_bound,1,5,11.06302918327794,,15451,,,0,unknown,0,1,,,
django__django-12125,pabb_oracle_upper_bound,1,10,19.21849985900885,,28006,,,0,unknown,0,2,,,
django__django-12125,pabb_oracle_upper_bound,1,15,23.21308981129239,,42239,,,0,unknown,0,2,,,
django__django-12125,pabb_oracle_upper_bound,2,5,12.297318879013169,,17272,,,0,unknown,0,1,,,
django__django-12125,pabb_oracle_upper_bound,2,10,19.21849985900885,,28006,,,0,unknown,0,2,,,
django__django-12125,pabb_oracle_upper_bound,2,15,19.21849985900885,,28006,,,0,unknown,0,2,,,
django__django-12125,pabb_oracle_upper_bound,4,5,6.349256066350714,,7274,,,0,unknown,0,1,,,
django__django-12125,pabb_oracle_upper_bound,4,10,6.349256066350714,,7274,,,0,unknown,0,2,,,
django__django-12125,pabb_oracle_upper_bound,4,15,6.349256066350714,,7274,,,0,unknown,0,2,,,
django__django-12308,fcfs_budget,1,5,,,,,,0,unknown,0,0,,,
django__django-12308,fcfs_budget,1,10,4.877374595361328,,6547,,,0,unknown,0,2,,,
django__django-12308,fcfs_budget,1,15,4.877374595361328,,6547,,,0,unknown,0,2,,,
django__django-12308,fcfs_budget,2,5,,,,,,0,unknown,0,0,,,
django__django-12308,fcfs_budget,2,10,8.506884146059752,,15349,,,0,unknown,0,2,,,
django__django-12308,fcfs_budget,2,15,8.506884146059752,,15349,,,0,unknown,0,2,,,
django__django-12308,fcfs_budget,4,5,,,,,,0,unknown,0,0,,,
django__django-12308,fcfs_budget,4,10,16.420396846993384,,30864,,,0,unknown,0,2,,,
django__django-12308,fcfs_budget,4,15,16.420396846993384,,30864,,,0,unknown,0,2,,,
django__django-12308,pabb_online_v3,1,5,,,,,,0,unknown,0,0,,,
django__django-12308,pabb_online_v3,1,10,14.662938145055389,,27456,,,0,unknown,0,2,,,
django__django-12308,pabb_online_v3,1,15,14.662938145055389,,27456,,,0,unknown,0,2,,,
django__django-12308,pabb_online_v3,2,5,,,,,,0,unknown,0,0,,,
django__django-12308,pabb_online_v3,2,10,25.780728684042412,,35525,,,0,unknown,0,2,,,
django__django-12308,pabb_online_v3,2,15,27.440584921781724,,36598,,,0,unknown,0,2,,,
django__django-12308,pabb_online_v3,4,5,,,,,,0,unknown,0,0,,,
django__django-12308,pabb_online_v3,4,10,16.979948324425635,,30864,,,0,unknown,0,2,,,
django__django-12308,pabb_online_v3,4,15,16.979948324425635,,30864,,,0,unknown,0,2,,,
django__django-12308,pabb_snapshot_online,1,5,,,,,,0,unknown,0,0,,,
django__django-12308,pabb_snapshot_online,1,10,14.662938145055389,,27456,,,0,unknown,0,2,,,
django__django-12308,pabb_snapshot_online,1,15,14.662938145055389,,27456,,,0,unknown,0,2,,,
django__django-12308,pabb_snapshot_online,2,5,,,,,,0,unknown,0,0,,,
django__django-12308,pabb_snapshot_online,2,10,25.780728684042412,,35525,,,0,unknown,0,2,,,
django__django-12308,pabb_snapshot_online,2,15,27.440584921781724,,36598,,,0,unknown,0,2,,,
django__django-12308,pabb_snapshot_online,4,5,,,,,,0,unknown,0,0,,,
django__django-12308,pabb_snapshot_online,4,10,16.979948324425635,,30864,,,0,unknown,0,2,,,
django__django-12308,pabb_snapshot_online,4,15,16.979948324425635,,30864,,,0,unknown,0,2,,,
django__django-12308,pabb_oracle_upper_bound,1,5,,,,,,0,unknown,0,0,,,
django__django-12308,pabb_oracle_upper_bound,1,10,4.877374595361328,,6547,,,0,unknown,0,2,,,
django__django-12308,pabb_oracle_upper_bound,1,15,4.877374595361328,,6547,,,0,unknown,0,2,,,
django__django-12308,pabb_oracle_upper_bound,2,5,,,,,,0,unknown,0,0,,,
django__django-12308,pabb_oracle_upper_bound,2,10,8.506884146059752,,15349,,,0,unknown,0,2,,,
django__django-12308,pabb_oracle_upper_bound,2,15,8.506884146059752,,15349,,,0,unknown,0,2,,,
django__django-12308,pabb_oracle_upper_bound,4,5,,,,,,0,unknown,0,0,,,
django__django-12308,pabb_oracle_upper_bound,4,10,16.420396846993384,,30864,,,0,unknown,0,2,,,
django__django-12308,pabb_oracle_upper_bound,4,15,16.420396846993384,,30864,,,0,unknown,0,2,,,
django__django-12708,fcfs_budget,1,5,,,,,,0,unknown,0,0,,,
django__django-12708,fcfs_budget,1,10,12.80837044924317,,29883,,,0,unknown,0,2,,,
django__django-12708,fcfs_budget,1,15,6.001453187831658,,11759,,,0,unknown,0,3,,,
django__django-12708,fcfs_budget,2,5,,,,,,0,unknown,0,0,,,
django__django-12708,fcfs_budget,2,10,12.80837044924317,,29883,,,0,unknown,0,2,,,
django__django-12708,fcfs_budget,2,15,12.80837044924317,,29883,,,0,unknown,0,3,,,
django__django-12708,fcfs_budget,4,5,,,,,,0,unknown,0,0,,,
django__django-12708,fcfs_budget,4,10,15.83628997752922,,32645,,,0,unknown,0,2,,,
django__django-12708,fcfs_budget,4,15,15.83628997752922,,32645,,,0,unknown,0,3,,,
django__django-12708,pabb_online_v3,1,5,,,,,,0,unknown,0,0,,,
django__django-12708,pabb_online_v3,1,10,8.589964350380814,,16525,,,0,unknown,0,2,,,
django__django-12708,pabb_online_v3,1,15,8.589964350380814,,16525,,,0,unknown,0,3,,,
django__django-12708,pabb_online_v3,2,5,,,,,,0,unknown,0,0,,,
django__django-12708,pabb_online_v3,2,10,11.193753980517616,,21664,,,0,unknown,0,2,,,
django__django-12708,pabb_online_v3,2,15,11.193753980517616,,21664,,,0,unknown,0,3,,,
django__django-12708,pabb_online_v3,4,5,,,,,,0,unknown,0,0,,,
django__django-12708,pabb_online_v3,4,10,14.812160623230145,,30818,,,0,unknown,0,2,,,
django__django-12708,pabb_online_v3,4,15,14.812160623230145,,30818,,,0,unknown,0,3,,,
django__django-12708,pabb_snapshot_online,1,5,,,,,,0,unknown,0,0,,,
django__django-12708,pabb_snapshot_online,1,10,8.589964350380814,,16525,,,0,unknown,0,2,,,
django__django-12708,pabb_snapshot_online,1,15,8.589964350380814,,16525,,,0,unknown,0,3,,,
django__django-12708,pabb_snapshot_online,2,5,,,,,,0,unknown,0,0,,,
django__django-12708,pabb_snapshot_online,2,10,11.193753980517616,,21664,,,0,unknown,0,2,,,
django__django-12708,pabb_snapshot_online,2,15,11.193753980517616,,21664,,,0,unknown,0,3,,,
django__django-12708,pabb_snapshot_online,4,5,,,,,,0,unknown,0,0,,,
django__django-12708,pabb_snapshot_online,4,10,14.812160623230145,,30818,,,0,unknown,0,2,,,
django__django-12708,pabb_snapshot_online,4,15,14.812160623230145,,30818,,,0,unknown,0,3,,,
django__django-12708,pabb_oracle_upper_bound,1,5,,,,,,0,unknown,0,0,,,
django__django-12708,pabb_oracle_upper_bound,1,10,12.80837044924317,,29883,,,0,unknown,0,2,,,
django__django-12708,pabb_oracle_upper_bound,1,15,6.001453187831658,,11759,,,0,unknown,0,3,,,
django__django-12708,pabb_oracle_upper_bound,2,5,,,,,,0,unknown,0,0,,,
django__django-12708,pabb_oracle_upper_bound,2,10,12.80837044924317,,29883,,,0,unknown,0,2,,,
django__django-12708,pabb_oracle_upper_bound,2,15,12.80837044924317,,29883,,,0,unknown,0,3,,,
django__django-12708,pabb_oracle_upper_bound,4,5,,,,,,0,unknown,0,0,,,
django__django-12708,pabb_oracle_upper_bound,4,10,15.83628997752922,,32645,,,0,unknown,0,2,,,
django__django-12708,pabb_oracle_upper_bound,4,15,15.83628997752922,,32645,,,0,unknown,0,3,,,
django__django-13028,fcfs_budget,1,5,,,,,,0,unknown,0,0,,,
django__django-13028,fcfs_budget,1,10,,,,,,0,unknown,0,0,,,
django__django-13028,fcfs_budget,1,15,17.83862004659114,,45670,,,0,unknown,0,1,,,
django__django-13028,fcfs_budget,2,5,,,,,,0,unknown,0,0,,,
django__django-13028,fcfs_budget,2,10,,,,,,0,unknown,0,0,,,
django__django-13028,fcfs_budget,2,15,15.87447950887361,,34552,,,0,unknown,0,1,,,
django__django-13028,fcfs_budget,4,5,,,,,,0,unknown,0,0,,,
django__django-13028,fcfs_budget,4,10,,,,,,0,unknown,0,0,,,
django__django-13028,fcfs_budget,4,15,42.08553964540231,,72090,,,0,unknown,0,1,,,
django__django-13028,pabb_online_v3,1,5,,,,,,0,unknown,0,0,,,
django__django-13028,pabb_online_v3,1,10,,,,,,0,unknown,0,0,,,
django__django-13028,pabb_online_v3,1,15,22.114732224476423,,43566,,,0,unknown,0,1,,,
django__django-13028,pabb_online_v3,2,5,,,,,,0,unknown,0,0,,,
django__django-13028,pabb_online_v3,2,10,,,,,,0,unknown,0,0,,,
django__django-13028,pabb_online_v3,2,15,22.114732224476423,,43566,,,0,unknown,0,1,,,
django__django-13028,pabb_online_v3,4,5,,,,,,0,unknown,0,0,,,
django__django-13028,pabb_online_v3,4,10,,,,,,0,unknown,0,0,,,
django__django-13028,pabb_online_v3,4,15,42.25844365998971,,72090,,,0,unknown,0,1,,,
django__django-13028,pabb_snapshot_online,1,5,,,,,,0,unknown,0,0,,,
django__django-13028,pabb_snapshot_online,1,10,,,,,,0,unknown,0,0,,,
django__django-13028,pabb_snapshot_online,1,15,22.114732224476423,,43566,,,0,unknown,0,1,,,
django__django-13028,pabb_snapshot_online,2,5,,,,,,0,unknown,0,0,,,
django__django-13028,pabb_snapshot_online,2,10,,,,,,0,unknown,0,0,,,
django__django-13028,pabb_snapshot_online,2,15,22.114732224476423,,43566,,,0,unknown,0,1,,,
django__django-13028,pabb_snapshot_online,4,5,,,,,,0,unknown,0,0,,,
django__django-13028,pabb_snapshot_online,4,10,,,,,,0,unknown,0,0,,,
django__django-13028,pabb_snapshot_online,4,15,42.25844365998971,,72090,,,0,unknown,0,1,,,
django__django-13028,pabb_oracle_upper_bound,1,5,,,,,,0,unknown,0,0,,,
django__django-13028,pabb_oracle_upper_bound,1,10,,,,,,0,unknown,0,0,,,
django__django-13028,pabb_oracle_upper_bound,1,15,17.83862004659114,,45670,,,0,unknown,0,1,,,
django__django-13028,pabb_oracle_upper_bound,2,5,,,,,,0,unknown,0,0,,,
django__django-13028,pabb_oracle_upper_bound,2,10,,,,,,0,unknown,0,0,,,
django__django-13028,pabb_oracle_upper_bound,2,15,15.87447950887361,,34552,,,0,unknown,0,1,,,
django__django-13028,pabb_oracle_upper_bound,4,5,,,,,,0,unknown,0,0,,,
django__django-13028,pabb_oracle_upper_bound,4,10,,,,,,0,unknown,0,0,,,
django__django-13028,pabb_oracle_upper_bound,4,15,42.08553964540231,,72090,,,0,unknown,0,1,,,
django__django-13033,fcfs_budget,1,5,,,,,,0,unknown,0,0,,,
django__django-13033,fcfs_budget,1,10,,,,,,0,unknown,0,0,,,
django__django-13033,fcfs_budget,1,15,35.89662133096294,,132267,,,0,unknown,0,1,,,
django__django-13033,fcfs_budget,2,5,,,,,,0,unknown,0,0,,,
django__django-13033,fcfs_budget,2,10,,,,,,0,unknown,0,0,,,
django__django-13033,fcfs_budget,2,15,33.344385773548,,123139,,,0,unknown,0,1,,,
django__django-13033,fcfs_budget,4,5,,,,,,0,unknown,0,0,,,
django__django-13033,fcfs_budget,4,10,,,,,,0,unknown,0,0,,,
django__django-13033,fcfs_budget,4,15,29.26316039520912,,93510,,,0,unknown,0,1,,,
django__django-13033,pabb_online_v3,1,5,,,,,,0,unknown,0,0,,,
django__django-13033,pabb_online_v3,1,10,,,,,,0,unknown,0,0,,,
django__django-13033,pabb_online_v3,1,15,33.906684304021184,,123018,,,0,unknown,0,1,,,
django__django-13033,pabb_online_v3,2,5,,,,,,0,unknown,0,0,,,
django__django-13033,pabb_online_v3,2,10,,,,,,0,unknown,0,0,,,
django__django-13033,pabb_online_v3,2,15,33.906684304021184,,123018,,,0,unknown,0,1,,,
django__django-13033,pabb_online_v3,4,5,,,,,,0,unknown,0,0,,,
django__django-13033,pabb_online_v3,4,10,,,,,,0,unknown,0,0,,,
django__django-13033,pabb_online_v3,4,15,29.26316039520912,,93510,,,0,unknown,0,1,,,
django__django-13033,pabb_snapshot_online,1,5,,,,,,0,unknown,0,0,,,
django__django-13033,pabb_snapshot_online,1,10,,,,,,0,unknown,0,0,,,
django__django-13033,pabb_snapshot_online,1,15,33.906684304021184,,123018,,,0,unknown,0,1,,,
django__django-13033,pabb_snapshot_online,2,5,,,,,,0,unknown,0,0,,,
django__django-13033,pabb_snapshot_online,2,10,,,,,,0,unknown,0,0,,,
django__django-13033,pabb_snapshot_online,2,15,33.906684304021184,,123018,,,0,unknown,0,1,,,
django__django-13033,pabb_snapshot_online,4,5,,,,,,0,unknown,0,0,,,
django__django-13033,pabb_snapshot_online,4,10,,,,,,0,unknown,0,0,,,
django__django-13033,pabb_snapshot_online,4,15,29.26316039520912,,93510,,,0,unknown,0,1,,,
django__django-13033,pabb_oracle_upper_bound,1,5,,,,,,0,unknown,0,0,,,
django__django-13033,pabb_oracle_upper_bound,1,10,,,,,,0,unknown,0,0,,,
django__django-13033,pabb_oracle_upper_bound,1,15,35.89662133096294,,132267,,,0,unknown,0,1,,,
django__django-13033,pabb_oracle_upper_bound,2,5,,,,,,0,unknown,0,0,,,
django__django-13033,pabb_oracle_upper_bound,2,10,,,,,,0,unknown,0,0,,,
django__django-13033,pabb_oracle_upper_bound,2,15,33.344385773548,,123139,,,0,unknown,0,1,,,
django__django-13033,pabb_oracle_upper_bound,4,5,,,,,,0,unknown,0,0,,,
django__django-13033,pabb_oracle_upper_bound,4,10,,,,,,0,unknown,0,0,,,
django__django-13033,pabb_oracle_upper_bound,4,15,29.26316039520912,,93510,,,0,unknown,0,1,,,
